metric,gonzalez_r_mean,da_r_mean/gonzalez_r_mean,psa_r_mean/gonzalez_r_mean
euclidean,5.687790140841617,1.8164432070397045,0.9808529133106662
manhattan,7.4617831018228085,1.8029840471820382,0.9797214186733348
chebyshev,5.375452054827727,1.6855013371715992,0.9613293378208768
