k,gonzalez_r_mean,da_r_mean/gonzalez_r_mean,psa_r_mean/gonzalez_r_mean
2,5.356330229065438,1.7239507599322093,0.9192015015144015
4,5.700331298506537,1.7142305575095567,0.8885790178537158
8,5.483053460177225,1.6611195858889936,0.9658634469398987
16,5.2942540240705505,1.729581551669751,1.0245546042651215
32,5.085853001767158,1.874434276051177,1.0619799485119847
64,4.833300581573858,1.8529391822567225,1.1103761708429567
128,4.568295286714122,1.910565710524355,1.1100730834705832
