dimensions,gonzalez_r_mean,da_r_mean/gonzalez_r_mean,psa_r_mean/gonzalez_r_mean
2,4.809254658858162,1.9189164459406531,1.0362001219156394
4,5.499355323655172,2.208853355811422,1.1627483574694186
8,6.66431221504663,2.334809042219001,1.134124796081134
16,8.24257102438564,2.9190031490527906,1.3250876852478852
32,10.595766955130687,3.7016957960914803,1.4887881540291854
64,13.902697828558841,3.7565501741570886,1.4096866803876895
128,18.566328919831815,4.026062550433949,1.411761595202769
256,25.130392989989858,4.3640198926835225,1.4706513897619693
