m,psa_r_mean,psa_c_r_mean
1,10.33154776439916,5.410025863456089
2,6.917818337296891,4.988174464672636
4,6.085291362542951,4.913062414187449
8,5.8176077532731405,5.043645494049612
16,5.578885529944184,5.015136819529524
32,5.317859152265085,5.028996218188389
64,5.202517018147872,5.026571164413332
128,5.12075953917465,5.026571164413332
256,5.080429287072323,5.026571164413332
