cluster_sd,gonzalez_r_mean,da_r_mean/gonzalez_r_mean,psa_r_mean/gonzalez_r_mean
0.25,1.4369451854665787,1.8319021710634884,1.0177215843491476
0.5,2.921774383675623,1.8018797205306007,0.9943337684624584
1,5.737687105249358,1.8006467719278245,0.9723230680948274
2,9.978427359731576,1.6893579391151063,1.0046206155299902
4,13.934634660706626,1.5507312366820276,1.040395679821076
8,19.412768672226946,1.6330269274662086,1.0996556990737278
