m,psa_r_mean,psa_c_r_mean
1,31.701573978419038,24.929267695503565
2,26.791939796049277,24.50616348658699
4,24.058549428075445,22.431160347710463
8,22.330942898308578,21.0343818158813
16,21.347361705214286,20.092947809110033
32,20.34619154087639,19.42784097680919
64,19.87315960285776,19.155617495861925
128,19.581260907837645,19.11215734296007
256,19.32330978802765,19.00140021040053
