cluster_std,algorithm,mean,std,min,max,median,q1,q3
2.0,gonzalez,5.410166797775835,0.5671985437753284,4.078833990257349,6.988335038756542,5.3619960420570045,5.012823020958848,5.755059970312695
2.0,doubling,9.353674166759165,3.6092158111719717,3.8170106209723347,18.708883994401376,8.410225461961119,6.8009098338827725,11.20829424930331
2.0,p_scaling,4.946101303537403,0.744012339580831,3.683422959456899,7.0544388138187255,4.84214926900537,4.3895697852164925,5.455084940005786
4.0,gonzalez,5.587978562011938,0.4515260184278015,4.540483646995958,6.966233860500081,5.567402430965382,5.282335889493734,5.8761433904336045
4.0,doubling,9.761782909295434,3.7230534184702235,3.6771108606097584,20.399897666585193,8.680741893031389,7.220492550647046,11.657208745797918
4.0,p_scaling,5.035439095159481,0.6346406424243018,3.373627079590569,6.781845414130239,4.91782202289914,4.5713135919729355,5.4739603278803965
8.0,gonzalez,5.534145888459361,0.4272141660851859,4.563998353507761,6.62766377107491,5.557308664404465,5.225079424562612,5.852066781547004
8.0,doubling,9.032996997734477,3.0341641660174172,4.522311488543059,19.9679226883135,8.46402360486248,6.8540689317079115,10.753795274739625
8.0,p_scaling,5.250785113997526,0.5644224359832398,3.950194026917073,7.173387852620153,5.175891921688789,4.873972394100747,5.602868077554643
16.0,gonzalez,5.293061997256688,0.4148037754030153,4.477472247598485,6.934720920067931,5.2674981636965015,5.04149351849175,5.589289103652669
16.0,doubling,9.068842318522705,2.5416208680429295,4.815757034403575,18.495718835968262,8.773450638983448,7.063217540634594,10.862534449927516
16.0,p_scaling,5.280350777867553,0.5050590240867256,4.057662940537054,6.645434051998262,5.236250996149883,4.936945545119171,5.498605851702905
32.0,gonzalez,5.079244196283879,0.356538674590913,4.14975156270586,6.086012300273886,5.088150866215132,4.8110965300061945,5.309258422348635
32.0,doubling,9.53309718947013,2.35998445738565,5.476994505661515,22.042325132280165,9.32473769061989,7.845978236636525,11.046610711753125
32.0,p_scaling,5.301052856620539,0.5165299396882743,4.24347405042288,6.739651103053909,5.255321077848314,4.9222712981564865,5.669017996858714
64.0,gonzalez,4.862956967816841,0.25747079188431377,4.31339556770991,5.505720000139286,4.872873467837507,4.691337390453214,5.06390126500481
64.0,doubling,8.955812027222407,1.8266187915947072,5.381761809987446,13.607399309320328,9.00624573740898,7.61348479207542,10.011363487219018
64.0,p_scaling,5.235872213406282,0.4789378858576272,4.271363492983016,6.4672081636414545,5.1822772733783555,4.9107193545592915,5.560030176270249
128.0,gonzalez,4.5424813432007305,0.2253639098667192,4.0345119289773805,5.092557105340311,4.516376456529497,4.397408273771115,4.691875212364929
128.0,doubling,8.844330745776134,1.969625605212436,5.8109683134158345,13.509989806809116,8.743838563862154,7.062490221011544,10.449975756940864
128.0,p_scaling,5.050322211120445,0.30799689592597834,4.12410763761065,6.060647516580461,5.019068428969193,4.852293069051467,5.2311271695542345
